,10 chunks/story
6409,"[[1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 2, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 3, 1, 0, 1, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [9, 0, 1, 0, 0, 0, 2, 0, 0, 0], [3, 0, 1, 0, 0, 1, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 1, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0]]"
6410,"[[4, 1, 1, 2, 0, 0, 0, 0, 0, 0], [7, 1, 0, 1, 1, 0, 0, 1, 0, 0], [7, 2, 0, 0, 2, 0, 0, 0, 0, 0], [7, 0, 0, 3, 0, 0, 0, 0, 0, 0], [5, 0, 0, 1, 1, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 3, 0, 1, 1, 0, 0, 0, 0, 0], [7, 0, 0, 3, 1, 1, 0, 0, 0, 0], [6, 0, 2, 0, 2, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
7990,"[[0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [2, 1, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 1, 0], [4, 0, 0, 0, 0, 1, 0, 0, 0, 0], [4, 0, 0, 3, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 0, 0], [2, 0, 1, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 1, 0, 0, 0, 0, 2, 0, 0]]"
6800,"[[6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [5, 4, 0, 0, 1, 0, 0, 0, 0, 0], [4, 3, 0, 0, 1, 1, 0, 0, 0, 0], [7, 1, 0, 0, 0, 2, 0, 0, 0, 0], [4, 0, 0, 0, 0, 1, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 1, 0], [7, 0, 0, 0, 0, 0, 0, 0, 1, 0], [5, 0, 1, 0, 0, 1, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
6801,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 1, 1, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 4, 0, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 1, 0, 0, 0, 0, 0], [4, 2, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4653,"[[2, 6, 1, 0, 0, 0, 0, 0, 0, 0], [3, 4, 0, 0, 0, 0, 1, 0, 0, 0], [6, 3, 0, 0, 2, 0, 0, 0, 0, 0], [4, 2, 0, 0, 0, 0, 2, 0, 0, 0], [0, 6, 1, 0, 0, 0, 1, 0, 0, 0], [4, 1, 0, 0, 1, 0, 0, 0, 0, 0], [3, 2, 1, 0, 0, 0, 0, 0, 0, 0], [8, 2, 2, 0, 1, 0, 1, 0, 0, 0], [3, 3, 2, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4654,"[[2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 0, 0, 1, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 2, 0, 0, 0, 0, 0, 0, 0, 0], [5, 2, 0, 1, 2, 0, 1, 0, 0, 0], [4, 1, 0, 0, 1, 0, 0, 0, 1, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 1, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4655,"[[6, 0, 0, 2, 0, 0, 0, 0, 0, 0], [10, 3, 0, 0, 0, 1, 0, 0, 0, 0], [16, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 1, 1, 0, 0, 1, 0, 0, 0, 0], [14, 0, 0, 1, 0, 2, 0, 0, 0, 0], [15, 0, 0, 0, 1, 2, 0, 0, 0, 0], [15, 0, 0, 1, 1, 1, 0, 0, 0, 0], [7, 0, 0, 2, 1, 1, 0, 0, 0, 0], [11, 1, 1, 0, 1, 0, 0, 0, 0, 0], [6, 3, 0, 0, 0, 1, 0, 1, 0, 0]]"
4656,"[[9, 1, 2, 2, 2, 0, 1, 0, 0, 0], [4, 3, 1, 0, 0, 0, 0, 0, 0, 0], [10, 1, 0, 1, 1, 0, 1, 0, 0, 0], [6, 0, 0, 1, 1, 0, 1, 0, 0, 0], [8, 0, 2, 2, 0, 0, 1, 0, 0, 0], [5, 0, 1, 1, 0, 0, 2, 0, 0, 0], [7, 0, 1, 0, 1, 0, 0, 0, 0, 0], [15, 1, 1, 0, 0, 0, 1, 0, 0, 0], [5, 1, 2, 0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0, 0, 0]]"
4657,"[[1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 1, 0, 0, 0, 0, 0], [3, 2, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0]]"
