,10 chunks/story
3900,"[[3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 1, 0, 0, 0, 0, 0, 0, 1, 0], [6, 0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 2, 0, 1, 0, 0, 0, 0, 0]]"
13665,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 2, 0, 0, 0, 0, 0, 0, 0], [3, 3, 1, 0, 0, 0, 0, 0, 0, 0], [2, 4, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 1, 2, 0, 0, 0, 0, 0, 0, 0]]"
13666,"[[4, 4, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 1, 0, 2, 0, 0, 1], [6, 2, 0, 0, 1, 0, 1, 0, 0, 1], [6, 2, 0, 0, 0, 0, 0, 0, 0, 1], [4, 3, 0, 0, 1, 0, 0, 0, 0, 1], [5, 0, 0, 0, 2, 1, 1, 0, 0, 0], [4, 1, 0, 0, 1, 0, 2, 0, 0, 1], [7, 3, 1, 0, 0, 0, 0, 0, 0, 0], [6, 2, 1, 0, 0, 0, 0, 0, 0, 0]]"
3902,"[[13, 0, 1, 1, 0, 0, 0, 0, 0, 0], [14, 1, 1, 2, 1, 0, 0, 0, 0, 0], [14, 0, 0, 2, 0, 0, 0, 0, 0, 0], [17, 0, 0, 1, 0, 0, 0, 0, 0, 0], [13, 2, 0, 1, 2, 0, 0, 3, 0, 0], [17, 2, 0, 0, 1, 0, 0, 0, 0, 0], [18, 2, 0, 0, 0, 3, 0, 0, 1, 0], [13, 2, 1, 2, 1, 2, 0, 0, 0, 0], [10, 2, 6, 2, 0, 0, 0, 0, 0, 0], [15, 0, 4, 0, 0, 0, 0, 0, 0, 0]]"
13669,"[[9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 1, 1, 0, 1, 0, 0, 0, 0], [4, 0, 2, 0, 0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 1, 0], [7, 0, 0, 0, 0, 1, 0, 0, 0, 0], [5, 1, 0, 2, 0, 1, 0, 0, 0, 0], [10, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 1, 2, 1, 0, 0, 0, 0], [7, 0, 2, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 1, 0, 0, 0, 0, 0, 0]]"
13670,"[[7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 1, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 1, 0, 0, 0, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 0, 0, 2, 0, 0, 0, 0], [5, 1, 0, 1, 0, 0, 0, 0, 0, 0], [4, 1, 1, 2, 0, 0, 0, 0, 0, 0], [9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 1, 0, 0, 0, 0, 0, 0]]"
13672,"[[4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 1, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 0, 0, 0, 0, 1, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 0, 3, 0, 1, 0, 0, 0, 0, 0], [3, 0, 2, 1, 0, 0, 0, 0, 0, 0]]"
13673,"[[6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 2, 0, 1, 0, 1, 0, 0, 0, 0], [7, 0, 2, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 2, 0, 0, 0, 0, 0, 0, 0], [7, 1, 1, 1, 1, 0, 0, 0, 0, 0], [8, 2, 1, 1, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 1, 0], [1, 2, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
14019,"[[7, 5, 0, 0, 0, 0, 0, 0, 0, 1], [4, 6, 1, 2, 0, 0, 0, 0, 0, 0], [5, 5, 0, 2, 0, 0, 0, 0, 0, 0], [8, 1, 3, 2, 0, 2, 0, 0, 0, 0], [9, 5, 3, 3, 0, 1, 0, 0, 0, 1], [10, 0, 1, 1, 0, 0, 0, 0, 0, 0], [10, 0, 1, 0, 0, 0, 0, 0, 0, 1], [17, 0, 2, 1, 0, 0, 0, 0, 0, 0], [11, 5, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
6623,"[[10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 2, 0, 0, 0, 0], [4, 0, 0, 0, 2, 1, 0, 0, 1, 0], [5, 2, 0, 0, 0, 1, 0, 0, 0, 0], [1, 2, 3, 2, 0, 1, 0, 0, 0, 0], [3, 3, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 2, 2, 0, 1, 0, 0, 0, 0], [3, 1, 1, 0, 0, 0, 0, 1, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
