,10 chunks/story
5630,"[[2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 2, 1, 0, 0, 0, 0, 0, 0, 0]]"
5631,"[[14, 1, 1, 0, 1, 0, 0, 0, 0, 0], [9, 0, 1, 2, 0, 1, 0, 0, 0, 0], [11, 1, 0, 0, 2, 0, 0, 0, 0, 0], [10, 0, 0, 0, 2, 1, 0, 0, 0, 0], [14, 0, 0, 0, 0, 1, 0, 0, 1, 0], [13, 0, 0, 0, 0, 1, 0, 1, 0, 0], [8, 0, 1, 2, 1, 1, 0, 1, 0, 0], [8, 0, 3, 0, 1, 0, 0, 0, 0, 0], [4, 0, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13245,"[[10, 1, 1, 0, 0, 0, 0, 0, 0, 0], [8, 2, 0, 0, 1, 0, 0, 0, 0, 0], [5, 5, 0, 0, 1, 0, 0, 0, 0, 0], [9, 5, 1, 0, 0, 0, 0, 0, 0, 0], [10, 0, 1, 0, 1, 1, 1, 0, 0, 0], [6, 3, 1, 1, 0, 0, 0, 0, 0, 0], [10, 4, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 3, 1, 0, 0, 0], [9, 1, 1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13246,"[[5, 0, 0, 1, 1, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 2, 1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 1, 0, 0, 0, 0, 0, 0], [9, 0, 0, 1, 1, 0, 0, 0, 0, 0], [9, 0, 0, 1, 0, 1, 0, 0, 0, 0], [12, 0, 0, 2, 0, 1, 0, 0, 0, 0], [12, 0, 3, 0, 0, 1, 0, 0, 0, 0], [4, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 1, 0, 0, 0, 0, 0]]"
13247,"[[6, 0, 2, 1, 0, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [8, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 2, 1, 1, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 1, 0], [4, 0, 2, 2, 1, 1, 0, 0, 0, 0], [8, 1, 1, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 0, 0, 0, 0, 0, 0]]"
13248,"[[7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 1, 0, 0], [9, 1, 0, 0, 1, 0, 0, 0, 0, 1], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [10, 2, 0, 0, 1, 0, 0, 0, 0, 0], [7, 1, 0, 0, 1, 0, 0, 1, 0, 1], [9, 0, 1, 0, 1, 0, 0, 1, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 2], [9, 0, 0, 0, 1, 0, 0, 0, 0, 1], [2, 1, 1, 0, 0, 0, 0, 0, 0, 0]]"
13249,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [5, 3, 0, 2, 0, 0, 0, 0, 0, 0], [3, 4, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [12, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 1, 0, 0, 0, 0, 0]]"
13250,"[[11, 0, 2, 0, 0, 0, 1, 0, 0, 0], [9, 2, 0, 1, 0, 0, 0, 0, 0, 0], [10, 2, 1, 2, 0, 0, 0, 0, 0, 0], [11, 4, 2, 0, 0, 0, 1, 0, 0, 0], [12, 1, 1, 0, 0, 0, 1, 1, 0, 0], [10, 2, 0, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 2, 1, 0, 0, 0, 0, 0], [11, 2, 1, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 1, 0, 0, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4953,"[[11, 0, 2, 0, 0, 0, 1, 0, 0, 0], [9, 2, 0, 1, 0, 0, 0, 0, 0, 0], [10, 2, 1, 2, 0, 0, 0, 0, 0, 0], [11, 4, 2, 0, 0, 0, 1, 0, 0, 0], [12, 1, 1, 0, 0, 0, 1, 1, 0, 0], [10, 2, 0, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 2, 1, 0, 0, 0, 0, 0], [11, 2, 1, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 1, 0, 0, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13251,"[[5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 1, 0, 0, 0, 1, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 2, 1, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
