,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
235,86,10,4,4,11,2,5,3,0,3
236,41,0,3,0,3,1,0,0,0,0
237,101,1,8,5,0,3,0,0,1,0
238,101,1,8,5,0,3,0,0,1,0
239,76,6,3,7,10,3,0,0,1,0
240,38,9,10,5,0,3,0,0,1,0
241,100,18,5,6,0,1,0,5,0,0
242,53,3,5,3,4,0,3,0,0,0
243,145,27,5,1,9,0,3,6,0,0
244,58,1,6,4,0,4,0,8,1,0
245,46,7,0,0,0,1,0,1,0,0
246,39,20,14,8,1,2,0,0,1,0
247,113,12,20,9,11,5,0,4,0,0
248,161,24,6,11,0,3,0,0,0,0
249,143,12,7,3,0,9,0,3,1,0
250,50,13,15,4,7,1,0,4,1,0
251,35,3,2,6,0,0,0,5,0,0
252,70,12,2,8,6,1,0,0,0,0
253,47,3,5,1,0,0,0,0,0,0
254,45,5,2,5,1,1,0,0,0,0
255,52,20,7,6,7,3,0,0,0,0
256,45,14,6,0,0,1,3,1,0,0
257,60,13,5,5,0,6,0,2,0,0
258,60,13,5,5,0,6,0,2,0,0
259,76,3,1,4,6,5,1,5,0,0
260,47,8,4,5,2,0,0,1,0,0
261,64,8,6,1,5,0,3,0,0,0
262,71,3,3,3,3,3,0,0,0,0
263,80,3,2,10,3,5,0,0,0,0
264,35,2,1,0,1,0,0,0,0,0
265,64,8,5,2,0,3,0,0,1,0
266,108,14,0,9,8,4,0,0,1,0
267,59,9,1,1,0,2,0,5,1,0
268,49,2,6,2,2,1,0,2,0,0
269,63,11,7,2,4,0,2,0,0,0
270,218,34,4,5,0,7,0,13,0,0
271,85,1,4,4,4,0,2,1,0,0
272,27,3,3,4,0,1,0,0,0,0
273,30,4,6,2,2,1,0,4,0,0
274,43,0,0,1,1,1,0,1,1,0
275,69,1,6,3,0,0,0,0,0,0
276,31,9,9,4,1,2,1,0,0,0
277,18,1,4,0,1,1,0,0,0,0
278,91,7,6,4,0,2,0,0,0,0
279,29,9,2,1,0,0,0,0,0,0
280,82,3,1,8,2,2,0,4,0,0
281,86,9,10,3,3,10,0,0,1,0
282,70,1,2,0,1,0,3,0,0,0
283,130,12,6,11,0,7,0,0,2,0
284,45,2,2,1,0,0,0,0,1,0
285,110,12,9,4,7,5,0,1,0,0
286,48,4,7,6,6,1,0,3,0,0
287,100,15,1,6,0,0,0,1,2,0
288,92,15,6,3,0,5,0,4,1,0
289,89,9,9,8,2,2,0,5,1,0
290,105,3,2,1,0,0,3,0,1,0
291,46,4,7,12,3,3,0,0,0,0
292,44,2,1,6,4,4,0,1,0,0
293,148,9,5,11,0,4,0,4,1,0
294,47,3,7,2,1,2,0,4,0,0
295,117,13,6,1,4,6,7,1,3,0
296,97,2,2,5,2,0,0,0,0,0
297,110,8,10,3,0,3,0,5,0,0
298,42,2,8,0,5,0,0,0,0,1
299,124,3,1,12,0,6,0,3,0,0
300,43,9,9,2,2,3,1,1,0,0
301,57,16,1,0,2,1,2,0,0,4
302,57,3,7,4,4,2,0,0,0,0
303,34,6,4,0,0,0,3,2,2,0
304,26,1,2,1,0,1,1,0,0,0
305,87,17,5,2,2,4,8,0,0,0
306,29,5,2,1,2,4,0,0,0,0
307,67,0,5,10,0,8,0,4,1,0
308,35,2,4,2,4,0,0,0,0,0
309,88,33,9,6,9,3,0,9,0,0
310,81,4,7,8,9,4,0,1,1,0
311,152,14,5,13,9,5,0,4,0,0
312,54,11,8,0,2,0,0,0,0,1
313,140,13,4,6,4,6,0,3,0,0
314,118,10,11,7,3,12,0,2,0,0
315,83,23,8,0,7,3,2,0,0,6
316,37,3,2,3,1,0,5,0,0,0
317,41,2,6,2,3,1,0,0,0,0
318,69,7,10,4,4,6,0,0,0,0
319,53,3,0,7,1,1,0,2,0,0
320,56,4,0,0,6,0,3,0,0,0
321,59,0,5,3,0,3,0,0,0,0
322,73,10,15,0,9,1,8,0,0,0
323,46,8,4,2,0,1,0,0,0,0
324,36,9,1,0,0,2,0,0,0,0
325,56,4,3,4,0,5,0,0,0,0
326,80,6,9,4,5,5,0,0,1,0
327,43,2,3,2,3,0,0,0,2,0
